transaction_id,customer_id,order_date,total_amount,status,payment_method,channel,store_id,promotion_id,discount_amount,,,,,quantity,price
1,541,2024-04-11 09:39:00,21.8,Pending,Cash,Online,NULL,NULL,0,,,,,5,4.36
2,522,2024-03-03 17:27:00,25.3,Pending,Mobile Pay,In-store,1,5,4.79,,,,,5,5.06
3,518,2023-10-06 15:25:00,25.3,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,5.06
4,196,2024-02-01 12:30:00,8.66,Pending,Credit Card,In-store,3,4,2.37,,,,,2,4.33
5,674,2024-06-04 16:40:00,3.41,Pending,Credit Card,Online,NULL,NULL,0,,,,,1,3.41
6,241,2023-08-28 12:27:00,10.53,Pending,Cash,Online,NULL,NULL,0,,,,,3,3.51
7,461,2024-03-01 13:33:00,5.96,Pending,Cash,In-store,1,NULL,0,,,,,1,5.96
8,266,2024-05-18 20:43:00,14.96,Pending,Credit Card,In-store,1,NULL,0,,,,,4,3.74
9,598,2024-05-02 16:36:00,13.64,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,3.41
10,276,2024-03-09 11:34:00,8.72,Pending,Cash,In-store,1,1,1.17,,,,,2,4.36
11,249,2024-01-07 13:14:00,14.15,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,2.83
12,528,2024-01-06 09:07:00,13.98,Pending,Credit Card,In-store,3,NULL,0,,,,,3,4.66
13,176,2024-01-05 16:48:00,17.88,Pending,Mobile Pay,Online,NULL,5,3.95,,,,,3,5.96
14,645,2024-04-14 09:28:00,8.72,Pending,Credit Card,In-store,2,NULL,0,,,,,2,4.36
15,510,2024-02-23 14:46:00,4.82,Pending,Credit Card,In-store,2,5,0.64,,,,,1,4.82
16,462,2023-10-29 08:32:00,14.67,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,4.89
17,156,2024-02-21 15:51:00,3.74,Pending,Cash,Online,NULL,5,0.85,,,,,1,3.74
18,578,2023-09-16 16:18:00,18.51,Pending,Cash,In-store,2,NULL,0,,,,,3,6.17
19,504,2023-10-30 08:13:00,19.28,Pending,Mobile Pay,In-store,2,5,4.97,,,,,4,4.82
20,333,2024-01-22 11:48:00,24.32,Pending,Mobile Pay,In-store,2,NULL,0,,,,,8,3.04
21,612,2023-08-17 16:55:00,4.32,Pending,Cash,Online,NULL,NULL,0,,,,,1,4.32
22,528,2024-02-28 20:44:00,12.96,Pending,Mobile Pay,In-store,2,2,2.02,,,,,3,4.32
23,616,2023-08-19 14:54:00,17.05,Pending,Mobile Pay,In-store,3,NULL,0,,,,,5,3.41
24,715,2023-09-26 17:47:00,10.29,Pending,Cash,In-store,3,1,3.02,,,,,3,3.43
25,483,2023-09-09 17:57:00,25.7,Pending,Cash,In-store,3,NULL,0,,,,,5,5.14
26,560,2024-04-22 11:52:00,17.55,Pending,Cash,In-store,1,3,2.43,,,,,5,3.51
27,594,2023-11-12 10:26:00,14.15,Pending,Mobile Pay,In-store,1,4,3.79,,,,,5,2.83
28,270,2023-08-27 08:16:00,25.52,Pending,Credit Card,In-store,2,NULL,0,,,,,4,6.38
29,433,2023-12-23 18:43:00,13.72,Pending,Cash,Online,NULL,3,1.49,,,,,4,3.43
30,405,2024-02-23 09:20:00,10.23,Pending,Credit Card,In-store,1,NULL,0,,,,,3,3.41
31,162,2024-04-03 19:34:00,14.52,Pending,Cash,Online,NULL,NULL,0,,,,,4,3.63
32,495,2024-02-03 08:18:00,23.84,Pending,Mobile Pay,In-store,3,NULL,0,,,,,4,5.96
33,499,2024-06-01 19:16:00,11.1,Pending,Cash,Online,NULL,2,2.12,,,,,3,3.7
34,227,2023-09-19 09:16:00,25.92,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,6.48
35,598,2023-07-29 08:47:00,20.24,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,5.06
